0: loss=0.090140, params={'n_layers': 5, 'n_units': 375, 'activation': 'swish', 'lr': 0.007023366705110221, 'optimizer': 'rmsprop'}
0: loss=0.003224, params={'n_layers': 1, 'n_units': 348, 'activation': 'elu', 'lr': 0.008595978127650243, 'optimizer': 'adam'}
1: loss=1.027616, params={'n_layers': 9, 'n_units': 191, 'activation': 'sigmoid', 'lr': 0.006664562885103201, 'optimizer': 'rmsprop'}
2635358
0: loss=0.025400, validation loss=0.029113, train_mae=0.092934, val_mae=0.094262, params={'n_layers': 7, 'n_units': 38, 'activation': 'tanh', 'lr': 0.0062848236756227124, 'optimizer': 'AdamW'}
1: loss=0.043707, validation loss=0.046902, train_mae=0.131681, val_mae=0.133061, params={'n_layers': 8, 'n_units': 176, 'activation': 'elu', 'lr': 0.00519132191812707, 'optimizer': 'rmsprop'}
2: loss=0.001029, validation loss=0.002235, train_mae=0.015995, val_mae=0.016864, params={'n_layers': 9, 'n_units': 402, 'activation': 'gelu', 'lr': 0.0005534251814266717, 'optimizer': 'RAdam'}
3: loss=0.020815, validation loss=0.023571, train_mae=0.079878, val_mae=0.080887, params={'n_layers': 5, 'n_units': 265, 'activation': 'tanh', 'lr': 0.0015685385579438762, 'optimizer': 'AdamW'}
4: loss=1.001123, validation loss=1.028094, train_mae=0.754722, val_mae=0.757930, params={'n_layers': 5, 'n_units': 211, 'activation': 'tanh', 'lr': 0.006576223450514533, 'optimizer': 'adam'}
5: loss=1.000053, validation loss=1.027646, train_mae=0.751664, val_mae=0.754955, params={'n_layers': 10, 'n_units': 446, 'activation': 'gelu', 'lr': 0.0011052124099152222, 'optimizer': 'adam'}
6: loss=0.005791, validation loss=0.006981, train_mae=0.050125, val_mae=0.051577, params={'n_layers': 5, 'n_units': 127, 'activation': 'selu', 'lr': 0.005473157719105765, 'optimizer': 'rmsprop'}
7: loss=0.001363, validation loss=0.002483, train_mae=0.020412, val_mae=0.021911, params={'n_layers': 7, 'n_units': 71, 'activation': 'swish', 'lr': 0.0019253946698288198, 'optimizer': 'rmsprop'}
8: loss=0.009375, validation loss=0.010426, train_mae=0.031105, val_mae=0.031982, params={'n_layers': 1, 'n_units': 501, 'activation': 'leaky_relu', 'lr': 0.0002007447082985451, 'optimizer': 'rmsprop'}
9: loss=0.033356, validation loss=0.033497, train_mae=0.107629, val_mae=0.107887, params={'n_layers': 7, 'n_units': 359, 'activation': 'selu', 'lr': 0.004532652622136215, 'optimizer': 'AdamW'}
10: loss=1.000011, validation loss=1.027699, train_mae=0.751070, val_mae=0.754376, params={'n_layers': 10, 'n_units': 359, 'activation': 'sigmoid', 'lr': 0.00034569545931565043, 'optimizer': 'RAdam'}
11: loss=0.038418, validation loss=0.039854, train_mae=0.125218, val_mae=0.125737, params={'n_layers': 8, 'n_units': 37, 'activation': 'swish', 'lr': 0.0004687323743014312, 'optimizer': 'sgd'}
