0: loss=0.001789, validation loss=0.002453, train_mae=0.017015, val_mae=0.017800, params={'n_layers': 2, 'n_units': 281, 'activation': 'elu', 'lr': 0.0023565002202747816, 'optimizer': 'rmsprop'}
1: loss=0.000469, validation loss=0.001669, train_mae=0.012932, val_mae=0.014783, params={'n_layers': 6, 'n_units': 280, 'activation': 'leaky_relu', 'lr': 0.0007838061076039424, 'optimizer': 'RAdam'}
2: loss=0.018208, validation loss=0.019770, train_mae=0.081360, val_mae=0.082093, params={'n_layers': 7, 'n_units': 398, 'activation': 'selu', 'lr': 0.0006740122168012393, 'optimizer': 'AdamW'}
3: loss=0.000930, validation loss=0.001957, train_mae=0.018929, val_mae=0.020802, params={'n_layers': 7, 'n_units': 201, 'activation': 'relu', 'lr': 0.0009136258953649835, 'optimizer': 'RAdam'}
4: loss=1.000080, validation loss=1.027628, train_mae=0.751828, val_mae=0.755114, params={'n_layers': 6, 'n_units': 505, 'activation': 'sigmoid', 'lr': 0.006941153223309899, 'optimizer': 'adam'}
5: loss=0.001596, validation loss=0.001955, train_mae=0.024304, val_mae=0.024779, params={'n_layers': 7, 'n_units': 16, 'activation': 'tanh', 'lr': 0.00026185534234550646, 'optimizer': 'RAdam'}
6: loss=0.034081, validation loss=0.035862, train_mae=0.112418, val_mae=0.112782, params={'n_layers': 4, 'n_units': 190, 'activation': 'relu', 'lr': 0.002653894386059018, 'optimizer': 'AdamW'}
7: loss=1.000033, validation loss=1.027663, train_mae=0.751474, val_mae=0.754770, params={'n_layers': 8, 'n_units': 143, 'activation': 'sigmoid', 'lr': 0.0007907944106674059, 'optimizer': 'AdamW'}
8: loss=0.146281, validation loss=0.149756, train_mae=0.249068, val_mae=0.249100, params={'n_layers': 1, 'n_units': 397, 'activation': 'relu', 'lr': 0.0008325153920446373, 'optimizer': 'sgd'}
9: loss=0.000152, validation loss=0.002025, train_mae=0.008278, val_mae=0.011463, params={'n_layers': 5, 'n_units': 472, 'activation': 'tanh', 'lr': 0.0003610369864207531, 'optimizer': 'RAdam'}
10: loss=0.000321, validation loss=0.002800, train_mae=0.011883, val_mae=0.015558, params={'n_layers': 10, 'n_units': 313, 'activation': 'leaky_relu', 'lr': 0.00012036716780892407, 'optimizer': 'adam'}
11: loss=0.001101, validation loss=0.001643, train_mae=0.019472, val_mae=0.019975, params={'n_layers': 9, 'n_units': 20, 'activation': 'tanh', 'lr': 0.0002131381842224521, 'optimizer': 'RAdam'}
12: loss=0.001973, validation loss=0.002195, train_mae=0.024320, val_mae=0.024760, params={'n_layers': 10, 'n_units': 22, 'activation': 'gelu', 'lr': 0.00010683546779866956, 'optimizer': 'RAdam'}
13: loss=0.000639, validation loss=0.001292, train_mae=0.013140, val_mae=0.013754, params={'n_layers': 9, 'n_units': 144, 'activation': 'swish', 'lr': 0.0002571866162529914, 'optimizer': 'RAdam'}
14: loss=0.113502, validation loss=0.119702, train_mae=0.217114, val_mae=0.219020, params={'n_layers': 9, 'n_units': 93, 'activation': 'swish', 'lr': 0.0002501834032294207, 'optimizer': 'sgd'}
15: loss=0.000426, validation loss=0.002226, train_mae=0.011551, val_mae=0.013113, params={'n_layers': 9, 'n_units': 85, 'activation': 'swish', 'lr': 0.00038490163545797486, 'optimizer': 'rmsprop'}
16: loss=0.000291, validation loss=0.002495, train_mae=0.010465, val_mae=0.012129, params={'n_layers': 9, 'n_units': 97, 'activation': 'tanh', 'lr': 0.00018048817422513876, 'optimizer': 'RAdam'}
17: loss=0.000501, validation loss=0.001271, train_mae=0.009971, val_mae=0.010671, params={'n_layers': 4, 'n_units': 204, 'activation': 'swish', 'lr': 0.00015915504297568805, 'optimizer': 'RAdam'}
18: loss=0.001451, validation loss=0.002063, train_mae=0.017252, val_mae=0.017772, params={'n_layers': 4, 'n_units': 217, 'activation': 'swish', 'lr': 0.0017961364320970123, 'optimizer': 'RAdam'}
19: loss=0.057747, validation loss=0.059572, train_mae=0.149315, val_mae=0.149948, params={'n_layers': 3, 'n_units': 140, 'activation': 'swish', 'lr': 0.00036325236319198966, 'optimizer': 'sgd'}
20: loss=0.001737, validation loss=0.002384, train_mae=0.015070, val_mae=0.015819, params={'n_layers': 5, 'n_units': 340, 'activation': 'swish', 'lr': 0.00015213572253435496, 'optimizer': 'rmsprop'}
21: loss=0.000470, validation loss=0.001713, train_mae=0.014316, val_mae=0.015853, params={'n_layers': 8, 'n_units': 152, 'activation': 'selu', 'lr': 0.00020570204446905113, 'optimizer': 'RAdam'}
22: loss=0.000426, validation loss=0.000949, train_mae=0.010566, val_mae=0.011210, params={'n_layers': 3, 'n_units': 231, 'activation': 'gelu', 'lr': 0.00010668604475210327, 'optimizer': 'RAdam'}
23: loss=0.000451, validation loss=0.001188, train_mae=0.008061, val_mae=0.008721, params={'n_layers': 3, 'n_units': 226, 'activation': 'gelu', 'lr': 0.00013182491543839182, 'optimizer': 'RAdam'}
24: loss=0.000638, validation loss=0.001017, train_mae=0.009900, val_mae=0.010495, params={'n_layers': 3, 'n_units': 238, 'activation': 'gelu', 'lr': 0.00010159721861008843, 'optimizer': 'RAdam'}
25: loss=0.000818, validation loss=0.001288, train_mae=0.012028, val_mae=0.012708, params={'n_layers': 2, 'n_units': 244, 'activation': 'gelu', 'lr': 0.00011801240892990511, 'optimizer': 'adam'}
26: loss=0.000161, validation loss=0.001285, train_mae=0.005630, val_mae=0.006683, params={'n_layers': 3, 'n_units': 346, 'activation': 'gelu', 'lr': 0.00010353532825157836, 'optimizer': 'RAdam'}
27: loss=0.006151, validation loss=0.008137, train_mae=0.036099, val_mae=0.036544, params={'n_layers': 1, 'n_units': 225, 'activation': 'gelu', 'lr': 0.0005178542236348271, 'optimizer': 'RAdam'}
28: loss=0.000274, validation loss=0.001206, train_mae=0.006953, val_mae=0.007809, params={'n_layers': 3, 'n_units': 260, 'activation': 'gelu', 'lr': 0.00014342647746465355, 'optimizer': 'RAdam'}
29: loss=0.001487, validation loss=0.001863, train_mae=0.016972, val_mae=0.017549, params={'n_layers': 2, 'n_units': 295, 'activation': 'elu', 'lr': 0.0016966344612226734, 'optimizer': 'rmsprop'}
30: loss=0.001012, validation loss=0.004952, train_mae=0.014901, val_mae=0.016068, params={'n_layers': 2, 'n_units': 172, 'activation': 'gelu', 'lr': 0.007888848112133588, 'optimizer': 'adam'}
31: loss=0.000378, validation loss=0.001365, train_mae=0.009501, val_mae=0.010334, params={'n_layers': 3, 'n_units': 249, 'activation': 'gelu', 'lr': 0.00015652354319702053, 'optimizer': 'RAdam'}
32: loss=0.000175, validation loss=0.000989, train_mae=0.006319, val_mae=0.007196, params={'n_layers': 3, 'n_units': 269, 'activation': 'gelu', 'lr': 0.0001380894292448778, 'optimizer': 'RAdam'}
33: loss=0.000866, validation loss=0.001117, train_mae=0.011012, val_mae=0.011345, params={'n_layers': 4, 'n_units': 278, 'activation': 'gelu', 'lr': 0.00010354806374755267, 'optimizer': 'RAdam'}
34: loss=0.209004, validation loss=0.221525, train_mae=0.305492, val_mae=0.308985, params={'n_layers': 4, 'n_units': 278, 'activation': 'gelu', 'lr': 0.0001015653727399234, 'optimizer': 'AdamW'}
35: loss=0.001783, validation loss=0.002230, train_mae=0.019029, val_mae=0.019488, params={'n_layers': 5, 'n_units': 321, 'activation': 'elu', 'lr': 0.003765502581437261, 'optimizer': 'RAdam'}
36: loss=0.000625, validation loss=0.001363, train_mae=0.007999, val_mae=0.008716, params={'n_layers': 2, 'n_units': 384, 'activation': 'gelu', 'lr': 0.00030685778698561226, 'optimizer': 'RAdam'}
37: loss=0.000214, validation loss=0.001927, train_mae=0.008037, val_mae=0.010528, params={'n_layers': 4, 'n_units': 369, 'activation': 'leaky_relu', 'lr': 0.00021502663298460903, 'optimizer': 'RAdam'}
