loss=0.000878, validation loss=0.001889, train_mae=0.014038, val_mae=0.014717, params={'n_layers': 6, 'n_units': 300, 'activation': 'gelu', 'lr': 0.00030674168443245084, 'optimizer': 'RAdam'}
loss=0.004731, validation loss=0.007131, train_mae=0.038643, val_mae=0.041193, params={'n_layers': 10, 'n_units': 334, 'activation': 'relu', 'lr': 0.003137273772465594, 'optimizer': 'sgd'}
loss=0.028143, validation loss=0.030338, train_mae=0.101923, val_mae=0.102838, params={'n_layers': 4, 'n_units': 292, 'activation': 'tanh', 'lr': 0.0008135336814619343, 'optimizer': 'sgd'}
loss=1.000024, validation loss=1.027671, train_mae=0.751253, val_mae=0.754556, params={'n_layers': 9, 'n_units': 424, 'activation': 'sigmoid', 'lr': 0.0001306658378146931, 'optimizer': 'rmsprop'}
loss=0.026149, validation loss=0.029550, train_mae=0.097868, val_mae=0.099043, params={'n_layers': 7, 'n_units': 105, 'activation': 'tanh', 'lr': 0.0028640223784690876, 'optimizer': 'AdamW'}
loss=0.000779, validation loss=0.003517, train_mae=0.018916, val_mae=0.022718, params={'n_layers': 5, 'n_units': 401, 'activation': 'relu', 'lr': 0.0016328276282003974, 'optimizer': 'rmsprop'}
loss=0.005293, validation loss=0.007576, train_mae=0.034528, val_mae=0.035958, params={'n_layers': 5, 'n_units': 357, 'activation': 'leaky_relu', 'lr': 0.005041917548768959, 'optimizer': 'sgd'}
loss=0.001275, validation loss=0.002367, train_mae=0.016112, val_mae=0.017102, params={'n_layers': 4, 'n_units': 73, 'activation': 'swish', 'lr': 0.002746279949437016, 'optimizer': 'rmsprop'}
loss=1.000023, validation loss=1.027675, train_mae=0.751320, val_mae=0.754619, params={'n_layers': 5, 'n_units': 281, 'activation': 'sigmoid', 'lr': 0.0012394769562059497, 'optimizer': 'adam'}
loss=1.000000, validation loss=1.027765, train_mae=0.750816, val_mae=0.754128, params={'n_layers': 5, 'n_units': 474, 'activation': 'sigmoid', 'lr': 0.00012096100428319841, 'optimizer': 'sgd'}
loss=0.000894, validation loss=0.001738, train_mae=0.010331, val_mae=0.011016, params={'n_layers': 2, 'n_units': 210, 'activation': 'gelu', 'lr': 0.0004955586481148164, 'optimizer': 'RAdam'}
loss=0.006339, validation loss=0.011001, train_mae=0.038543, val_mae=0.039421, params={'n_layers': 1, 'n_units': 176, 'activation': 'gelu', 'lr': 0.00037642342250335535, 'optimizer': 'RAdam'}
loss=0.003339, validation loss=0.003821, train_mae=0.024504, val_mae=0.024944, params={'n_layers': 1, 'n_units': 195, 'activation': 'gelu', 'lr': 0.0003652997106612833, 'optimizer': 'RAdam'}
