loss=0.000913, validation loss=0.003701, train_mae=0.018816, val_mae=0.020868, params={'n_layers': 10, 'n_units': 183, 'activation': 'swish', 'lr': 0.0018981370793694303, 'optimizer': 'rmsprop'}
loss=0.004845, validation loss=0.006170, train_mae=0.030162, val_mae=0.030870, params={'n_layers': 1, 'n_units': 134, 'activation': 'swish', 'lr': 0.0020149838915018738, 'optimizer': 'rmsprop'}
loss=0.001460, validation loss=0.001969, train_mae=0.021998, val_mae=0.022683, params={'n_layers': 4, 'n_units': 361, 'activation': 'selu', 'lr': 0.005587303475540778, 'optimizer': 'RAdam'}
loss=0.000313, validation loss=0.001179, train_mae=0.007438, val_mae=0.008257, params={'n_layers': 3, 'n_units': 351, 'activation': 'swish', 'lr': 0.00031474178723215436, 'optimizer': 'adam'}
loss=0.001148, validation loss=0.001576, train_mae=0.020389, val_mae=0.021390, params={'n_layers': 6, 'n_units': 241, 'activation': 'selu', 'lr': 0.0023586993120004013, 'optimizer': 'RAdam'}
loss=0.416517, validation loss=0.425240, train_mae=0.420644, val_mae=0.420066, params={'n_layers': 10, 'n_units': 387, 'activation': 'swish', 'lr': 0.0006956757606865077, 'optimizer': 'AdamW'}
loss=0.000485, validation loss=0.001507, train_mae=0.013817, val_mae=0.016082, params={'n_layers': 8, 'n_units': 470, 'activation': 'relu', 'lr': 0.00014409512206253674, 'optimizer': 'adam'}
loss=0.002839, validation loss=0.004137, train_mae=0.019607, val_mae=0.021035, params={'n_layers': 2, 'n_units': 401, 'activation': 'leaky_relu', 'lr': 0.000677660981993004, 'optimizer': 'rmsprop'}
loss=0.003506, validation loss=0.005880, train_mae=0.032376, val_mae=0.034178, params={'n_layers': 9, 'n_units': 447, 'activation': 'selu', 'lr': 0.00924175365302249, 'optimizer': 'sgd'}
loss=0.000300, validation loss=0.006547, train_mae=0.011829, val_mae=0.018759, params={'n_layers': 8, 'n_units': 505, 'activation': 'elu', 'lr': 0.00019806214712714195, 'optimizer': 'rmsprop'}
loss=0.000086, validation loss=0.001927, train_mae=0.004979, val_mae=0.006379, params={'n_layers': 4, 'n_units': 290, 'activation': 'gelu', 'lr': 0.0003219416067381974, 'optimizer': 'adam'}
loss=0.004166, validation loss=0.005069, train_mae=0.037510, val_mae=0.038462, params={'n_layers': 7, 'n_units': 30, 'activation': 'relu', 'lr': 0.000103437815615024, 'optimizer': 'adam'}
loss=0.000403, validation loss=0.000958, train_mae=0.009458, val_mae=0.010274, params={'n_layers': 4, 'n_units': 496, 'activation': 'sigmoid', 'lr': 0.00024250301907646608, 'optimizer': 'adam'}
loss=0.000398, validation loss=0.001117, train_mae=0.009953, val_mae=0.010774, params={'n_layers': 4, 'n_units': 324, 'activation': 'sigmoid', 'lr': 0.0003571587986857978, 'optimizer': 'adam'}
