loss=0.010139, validation loss=0.017572, train_mae=0.067444, val_mae=0.075564, params={'n_layers': 6, 'n_units': 110, 'activation': 'tanh', 'lr': 0.0033601311909791745, 'optimizer': 'rmsprop'}
loss=0.012092, validation loss=0.013712, train_mae=0.065000, val_mae=0.066409, params={'n_layers': 7, 'n_units': 248, 'activation': 'relu', 'lr': 0.0008136552197808714, 'optimizer': 'sgd'}
loss=0.005085, validation loss=0.005920, train_mae=0.043696, val_mae=0.044317, params={'n_layers': 7, 'n_units': 224, 'activation': 'tanh', 'lr': 0.005677342902286581, 'optimizer': 'RAdam'}
loss=0.031186, validation loss=0.033944, train_mae=0.110775, val_mae=0.112095, params={'n_layers': 10, 'n_units': 304, 'activation': 'relu', 'lr': 0.0003601001641425255, 'optimizer': 'AdamW'}
loss=0.001650, validation loss=0.001740, train_mae=0.015503, val_mae=0.015939, params={'n_layers': 3, 'n_units': 253, 'activation': 'elu', 'lr': 0.00014353890194406045, 'optimizer': 'rmsprop'}
loss=0.205865, validation loss=0.219977, train_mae=0.292733, val_mae=0.296859, params={'n_layers': 6, 'n_units': 199, 'activation': 'swish', 'lr': 0.00017196119743554755, 'optimizer': 'AdamW'}
loss=0.000364, validation loss=0.000914, train_mae=0.012087, val_mae=0.013273, params={'n_layers': 8, 'n_units': 268, 'activation': 'selu', 'lr': 0.00011959386256476864, 'optimizer': 'RAdam'}
loss=0.003012, validation loss=0.004121, train_mae=0.025165, val_mae=0.025966, params={'n_layers': 2, 'n_units': 90, 'activation': 'selu', 'lr': 0.0003731849580515887, 'optimizer': 'rmsprop'}
loss=0.003538, validation loss=0.005365, train_mae=0.032274, val_mae=0.034265, params={'n_layers': 10, 'n_units': 28, 'activation': 'leaky_relu', 'lr': 0.001243824736266428, 'optimizer': 'rmsprop'}
loss=0.006179, validation loss=0.009825, train_mae=0.048255, val_mae=0.051134, params={'n_layers': 9, 'n_units': 438, 'activation': 'tanh', 'lr': 0.0008053670606962945, 'optimizer': 'rmsprop'}
loss=0.000474, validation loss=0.001621, train_mae=0.009959, val_mae=0.010852, params={'n_layers': 4, 'n_units': 429, 'activation': 'gelu', 'lr': 0.0001073803131987889, 'optimizer': 'adam'}
loss=0.000469, validation loss=0.001912, train_mae=0.010603, val_mae=0.011626, params={'n_layers': 4, 'n_units': 503, 'activation': 'gelu', 'lr': 0.00011325743795500174, 'optimizer': 'adam'}
loss=0.005547, validation loss=0.006970, train_mae=0.029050, val_mae=0.029941, params={'n_layers': 1, 'n_units': 379, 'activation': 'selu', 'lr': 0.000272291993125537, 'optimizer': 'RAdam'}
loss=0.000690, validation loss=0.000800, train_mae=0.010789, val_mae=0.011242, params={'n_layers': 4, 'n_units': 372, 'activation': 'sigmoid', 'lr': 0.00010235146192496733, 'optimizer': 'adam'}
loss=1.000010, validation loss=1.027706, train_mae=0.751016, val_mae=0.754323, params={'n_layers': 8, 'n_units': 333, 'activation': 'sigmoid', 'lr': 0.00023525170433226684, 'optimizer': 'adam'}
loss=0.000523, validation loss=0.001692, train_mae=0.010832, val_mae=0.011885, params={'n_layers': 5, 'n_units': 356, 'activation': 'sigmoid', 'lr': 0.0018916942077285112, 'optimizer': 'RAdam'}
loss=0.009369, validation loss=0.011092, train_mae=0.054651, val_mae=0.055673, params={'n_layers': 8, 'n_units': 180, 'activation': 'selu', 'lr': 0.00048357007059313275, 'optimizer': 'sgd'}
loss=0.000466, validation loss=0.000948, train_mae=0.010514, val_mae=0.011214, params={'n_layers': 5, 'n_units': 301, 'activation': 'sigmoid', 'lr': 0.00019407279511300695, 'optimizer': 'adam'}
loss=0.001681, validation loss=0.002808, train_mae=0.015814, val_mae=0.016697, params={'n_layers': 3, 'n_units': 409, 'activation': 'swish', 'lr': 0.008313431320377988, 'optimizer': 'RAdam'}
loss=0.000765, validation loss=0.002421, train_mae=0.013746, val_mae=0.016203, params={'n_layers': 8, 'n_units': 494, 'activation': 'leaky_relu', 'lr': 0.00010065827576861257, 'optimizer': 'adam'}
loss=0.000601, validation loss=0.001089, train_mae=0.013707, val_mae=0.014256, params={'n_layers': 7, 'n_units': 144, 'activation': 'elu', 'lr': 0.0004929517911727619, 'optimizer': 'RAdam'}
loss=0.000468, validation loss=0.001005, train_mae=0.009926, val_mae=0.010648, params={'n_layers': 5, 'n_units': 287, 'activation': 'sigmoid', 'lr': 0.00019100056116121058, 'optimizer': 'adam'}
loss=0.000587, validation loss=0.000830, train_mae=0.010661, val_mae=0.011140, params={'n_layers': 4, 'n_units': 292, 'activation': 'sigmoid', 'lr': 0.00015973602504108995, 'optimizer': 'adam'}
loss=0.000506, validation loss=0.000820, train_mae=0.009697, val_mae=0.010272, params={'n_layers': 4, 'n_units': 333, 'activation': 'sigmoid', 'lr': 0.00014759106078200216, 'optimizer': 'adam'}
loss=0.000441, validation loss=0.000686, train_mae=0.008987, val_mae=0.009502, params={'n_layers': 3, 'n_units': 343, 'activation': 'sigmoid', 'lr': 0.0002793576269445611, 'optimizer': 'adam'}
loss=0.000705, validation loss=0.001011, train_mae=0.009119, val_mae=0.009673, params={'n_layers': 2, 'n_units': 382, 'activation': 'sigmoid', 'lr': 0.00031060994622206944, 'optimizer': 'adam'}
loss=0.000421, validation loss=0.000695, train_mae=0.009438, val_mae=0.010024, params={'n_layers': 3, 'n_units': 335, 'activation': 'sigmoid', 'lr': 0.0005117070041684009, 'optimizer': 'adam'}
