loss=0.000598, validation loss=0.001869, train_mae=0.016459, val_mae=0.017808, params={'n_layers': 5, 'n_units': 80, 'activation': 'selu', 'lr': 0.0017692895806158911, 'optimizer': 'RAdam'}
loss=0.186801, validation loss=0.201398, train_mae=0.276975, val_mae=0.281515, params={'n_layers': 2, 'n_units': 133, 'activation': 'swish', 'lr': 0.0002957460137850678, 'optimizer': 'AdamW'}
loss=0.006363, validation loss=0.008133, train_mae=0.042490, val_mae=0.043389, params={'n_layers': 9, 'n_units': 128, 'activation': 'selu', 'lr': 0.0009345637047534729, 'optimizer': 'sgd'}
loss=0.018046, validation loss=0.018591, train_mae=0.072974, val_mae=0.072931, params={'n_layers': 6, 'n_units': 387, 'activation': 'gelu', 'lr': 0.0005775187739533804, 'optimizer': 'AdamW'}
loss=0.004805, validation loss=0.005893, train_mae=0.034489, val_mae=0.035047, params={'n_layers': 6, 'n_units': 442, 'activation': 'swish', 'lr': 0.004776201250416263, 'optimizer': 'sgd'}
loss=0.001146, validation loss=0.001452, train_mae=0.017746, val_mae=0.018518, params={'n_layers': 2, 'n_units': 298, 'activation': 'relu', 'lr': 0.0011419642182071783, 'optimizer': 'adam'}
loss=0.002282, validation loss=0.003595, train_mae=0.017185, val_mae=0.017963, params={'n_layers': 8, 'n_units': 506, 'activation': 'swish', 'lr': 0.001171737159848392, 'optimizer': 'adam'}
loss=0.003669, validation loss=0.004725, train_mae=0.025924, val_mae=0.026579, params={'n_layers': 6, 'n_units': 467, 'activation': 'elu', 'lr': 0.006115304904447029, 'optimizer': 'sgd'}
loss=0.000508, validation loss=0.001762, train_mae=0.013262, val_mae=0.015505, params={'n_layers': 4, 'n_units': 312, 'activation': 'tanh', 'lr': 0.0009046689583758092, 'optimizer': 'adam'}
loss=0.017347, validation loss=0.019287, train_mae=0.070182, val_mae=0.071437, params={'n_layers': 2, 'n_units': 80, 'activation': 'leaky_relu', 'lr': 0.004805805502570941, 'optimizer': 'sgd'}
loss=0.010101, validation loss=0.012018, train_mae=0.049361, val_mae=0.050251, params={'n_layers': 1, 'n_units': 262, 'activation': 'relu', 'lr': 0.00011187725813918688, 'optimizer': 'rmsprop'}
loss=0.000470, validation loss=0.002744, train_mae=0.014550, val_mae=0.017904, params={'n_layers': 4, 'n_units': 295, 'activation': 'tanh', 'lr': 0.0024039235379621597, 'optimizer': 'adam'}
