loss=0.050739, validation loss=0.052320, train_mae=0.140388, val_mae=0.140449, params={'n_layers': 2, 'n_units': 188, 'activation': 'gelu', 'lr': 0.0007433896947161027, 'optimizer': 'sgd'}
loss=0.003404, validation loss=0.005079, train_mae=0.026316, val_mae=0.027345, params={'n_layers': 2, 'n_units': 102, 'activation': 'swish', 'lr': 0.006743078370942027, 'optimizer': 'adam'}
loss=0.047705, validation loss=0.048015, train_mae=0.133635, val_mae=0.134124, params={'n_layers': 4, 'n_units': 400, 'activation': 'elu', 'lr': 0.00032558109286584487, 'optimizer': 'sgd'}
loss=1.001035, validation loss=1.028024, train_mae=0.753779, val_mae=0.756969, params={'n_layers': 6, 'n_units': 275, 'activation': 'elu', 'lr': 0.009785697696557377, 'optimizer': 'adam'}
loss=1.000012, validation loss=1.027697, train_mae=0.751058, val_mae=0.754362, params={'n_layers': 9, 'n_units': 431, 'activation': 'sigmoid', 'lr': 0.0003083914708358591, 'optimizer': 'adam'}
loss=0.007451, validation loss=0.009022, train_mae=0.042967, val_mae=0.043530, params={'n_layers': 1, 'n_units': 46, 'activation': 'sigmoid', 'lr': 0.0004865606065289989, 'optimizer': 'adam'}
loss=0.000944, validation loss=0.001707, train_mae=0.016206, val_mae=0.017432, params={'n_layers': 2, 'n_units': 372, 'activation': 'relu', 'lr': 0.0015915032332791902, 'optimizer': 'RAdam'}
loss=0.004986, validation loss=0.005732, train_mae=0.037567, val_mae=0.038398, params={'n_layers': 7, 'n_units': 282, 'activation': 'sigmoid', 'lr': 0.00039270890686541167, 'optimizer': 'rmsprop'}
loss=0.029114, validation loss=0.029706, train_mae=0.106707, val_mae=0.107311, params={'n_layers': 9, 'n_units': 302, 'activation': 'leaky_relu', 'lr': 0.0039363886177226385, 'optimizer': 'AdamW'}
loss=0.150388, validation loss=0.162681, train_mae=0.236415, val_mae=0.239958, params={'n_layers': 5, 'n_units': 427, 'activation': 'gelu', 'lr': 0.00012450325904504782, 'optimizer': 'AdamW'}
loss=0.001194, validation loss=0.002179, train_mae=0.019084, val_mae=0.020360, params={'n_layers': 3, 'n_units': 506, 'activation': 'relu', 'lr': 0.0018742925389962104, 'optimizer': 'RAdam'}
loss=0.000706, validation loss=0.001840, train_mae=0.016929, val_mae=0.018345, params={'n_layers': 3, 'n_units': 456, 'activation': 'relu', 'lr': 0.0018006290428463972, 'optimizer': 'RAdam'}
loss=0.004039, validation loss=0.006035, train_mae=0.031803, val_mae=0.032657, params={'n_layers': 1, 'n_units': 368, 'activation': 'relu', 'lr': 0.001844211057775683, 'optimizer': 'RAdam'}
loss=0.001025, validation loss=0.003284, train_mae=0.019395, val_mae=0.022812, params={'n_layers': 4, 'n_units': 510, 'activation': 'tanh', 'lr': 0.0016858210375612858, 'optimizer': 'RAdam'}
loss=0.002242, validation loss=0.002524, train_mae=0.026957, val_mae=0.027633, params={'n_layers': 3, 'n_units': 341, 'activation': 'relu', 'lr': 0.003631332057377024, 'optimizer': 'RAdam'}
loss=0.000453, validation loss=0.001009, train_mae=0.012587, val_mae=0.013598, params={'n_layers': 3, 'n_units': 199, 'activation': 'selu', 'lr': 0.0010522662037685936, 'optimizer': 'RAdam'}
loss=0.000876, validation loss=0.003212, train_mae=0.020471, val_mae=0.025843, params={'n_layers': 7, 'n_units': 211, 'activation': 'selu', 'lr': 0.001091537854201134, 'optimizer': 'rmsprop'}
loss=0.000895, validation loss=0.001609, train_mae=0.017841, val_mae=0.018733, params={'n_layers': 5, 'n_units': 203, 'activation': 'selu', 'lr': 0.0009045923586734652, 'optimizer': 'RAdam'}
loss=0.000377, validation loss=0.001195, train_mae=0.012297, val_mae=0.013458, params={'n_layers': 5, 'n_units': 159, 'activation': 'selu', 'lr': 0.000814439372108266, 'optimizer': 'RAdam'}
loss=0.000393, validation loss=0.002011, train_mae=0.012543, val_mae=0.014260, params={'n_layers': 7, 'n_units': 136, 'activation': 'selu', 'lr': 0.00013983640202384063, 'optimizer': 'RAdam'}
loss=0.096684, validation loss=0.102772, train_mae=0.190790, val_mae=0.191528, params={'n_layers': 10, 'n_units': 35, 'activation': 'selu', 'lr': 0.00020459026364579613, 'optimizer': 'AdamW'}
loss=0.001018, validation loss=0.002059, train_mae=0.018053, val_mae=0.018911, params={'n_layers': 5, 'n_units': 205, 'activation': 'selu', 'lr': 0.0007531377747152761, 'optimizer': 'RAdam'}
loss=0.001027, validation loss=0.001846, train_mae=0.018280, val_mae=0.019469, params={'n_layers': 6, 'n_units': 150, 'activation': 'selu', 'lr': 0.0009630921964803971, 'optimizer': 'RAdam'}
loss=0.000218, validation loss=0.001556, train_mae=0.009392, val_mae=0.010745, params={'n_layers': 4, 'n_units': 240, 'activation': 'selu', 'lr': 0.0005802054464423324, 'optimizer': 'RAdam'}
loss=0.001037, validation loss=0.001663, train_mae=0.017061, val_mae=0.018220, params={'n_layers': 4, 'n_units': 245, 'activation': 'selu', 'lr': 0.0005626577529269696, 'optimizer': 'rmsprop'}
loss=0.001536, validation loss=0.002034, train_mae=0.022244, val_mae=0.023060, params={'n_layers': 4, 'n_units': 90, 'activation': 'tanh', 'lr': 0.0030122591553579494, 'optimizer': 'RAdam'}
loss=0.054340, validation loss=0.058747, train_mae=0.148188, val_mae=0.149332, params={'n_layers': 6, 'n_units': 157, 'activation': 'swish', 'lr': 0.00021409932089641796, 'optimizer': 'sgd'}
loss=0.000948, validation loss=0.001389, train_mae=0.013469, val_mae=0.014329, params={'n_layers': 3, 'n_units': 252, 'activation': 'leaky_relu', 'lr': 0.0012695129445967537, 'optimizer': 'RAdam'}
loss=0.000535, validation loss=0.001401, train_mae=0.011697, val_mae=0.013026, params={'n_layers': 3, 'n_units': 320, 'activation': 'leaky_relu', 'lr': 0.0012141800376691994, 'optimizer': 'RAdam'}
loss=0.022419, validation loss=0.023555, train_mae=0.085111, val_mae=0.085831, params={'n_layers': 2, 'n_units': 181, 'activation': 'leaky_relu', 'lr': 0.002638082949519854, 'optimizer': 'sgd'}
