loss=0.017880, validation loss=0.018283, train_mae=0.069607, val_mae=0.069672, params={'n_layers': 5, 'n_units': 390, 'activation': 'swish', 'lr': 0.0006512502204776753, 'optimizer': 'AdamW'}
loss=0.033571, validation loss=0.035019, train_mae=0.116164, val_mae=0.117156, params={'n_layers': 7, 'n_units': 115, 'activation': 'selu', 'lr': 0.002413731587874435, 'optimizer': 'AdamW'}
loss=0.180330, validation loss=0.196355, train_mae=0.268751, val_mae=0.273118, params={'n_layers': 1, 'n_units': 144, 'activation': 'elu', 'lr': 0.0006528195820317253, 'optimizer': 'AdamW'}
loss=1.000028, validation loss=1.027669, train_mae=0.751200, val_mae=0.754503, params={'n_layers': 9, 'n_units': 389, 'activation': 'sigmoid', 'lr': 0.0004989284846123803, 'optimizer': 'rmsprop'}
loss=0.000377, validation loss=0.001984, train_mae=0.012922, val_mae=0.014628, params={'n_layers': 7, 'n_units': 156, 'activation': 'selu', 'lr': 0.0001509169306490136, 'optimizer': 'adam'}
loss=0.120383, validation loss=0.128159, train_mae=0.221563, val_mae=0.223134, params={'n_layers': 3, 'n_units': 142, 'activation': 'leaky_relu', 'lr': 0.00018059717239175368, 'optimizer': 'AdamW'}
loss=1.001818, validation loss=1.029182, train_mae=0.750063, val_mae=0.753369, params={'n_layers': 6, 'n_units': 341, 'activation': 'elu', 'lr': 0.007084804084732158, 'optimizer': 'rmsprop'}
loss=0.000601, validation loss=0.001384, train_mae=0.012174, val_mae=0.013085, params={'n_layers': 7, 'n_units': 92, 'activation': 'gelu', 'lr': 0.0022566775183159716, 'optimizer': 'adam'}
loss=0.004573, validation loss=0.006094, train_mae=0.030434, val_mae=0.031537, params={'n_layers': 1, 'n_units': 398, 'activation': 'swish', 'lr': 0.006468377879406035, 'optimizer': 'rmsprop'}
loss=0.000493, validation loss=0.002988, train_mae=0.015247, val_mae=0.019225, params={'n_layers': 5, 'n_units': 505, 'activation': 'relu', 'lr': 0.001105760819198914, 'optimizer': 'rmsprop'}
loss=0.004321, validation loss=0.005401, train_mae=0.041450, val_mae=0.042299, params={'n_layers': 10, 'n_units': 18, 'activation': 'gelu', 'lr': 0.002951099187176663, 'optimizer': 'adam'}
loss=0.000311, validation loss=0.002181, train_mae=0.011305, val_mae=0.013698, params={'n_layers': 8, 'n_units': 241, 'activation': 'selu', 'lr': 0.0001195063146262963, 'optimizer': 'adam'}
loss=0.010539, validation loss=0.012230, train_mae=0.059757, val_mae=0.060994, params={'n_layers': 7, 'n_units': 44, 'activation': 'gelu', 'lr': 0.0017368776385008869, 'optimizer': 'sgd'}
loss=0.000189, validation loss=0.001781, train_mae=0.007895, val_mae=0.009527, params={'n_layers': 4, 'n_units': 225, 'activation': 'tanh', 'lr': 0.0002740454157348489, 'optimizer': 'RAdam'}
loss=0.000141, validation loss=0.000988, train_mae=0.006584, val_mae=0.007647, params={'n_layers': 3, 'n_units': 235, 'activation': 'tanh', 'lr': 0.0002677421317650723, 'optimizer': 'RAdam'}
loss=0.000116, validation loss=0.001259, train_mae=0.005791, val_mae=0.007562, params={'n_layers': 3, 'n_units': 305, 'activation': 'tanh', 'lr': 0.00037407865132525997, 'optimizer': 'RAdam'}
loss=0.000373, validation loss=0.001100, train_mae=0.009334, val_mae=0.010301, params={'n_layers': 3, 'n_units': 305, 'activation': 'tanh', 'lr': 0.0003176496441630989, 'optimizer': 'RAdam'}
loss=0.000454, validation loss=0.001191, train_mae=0.009702, val_mae=0.010488, params={'n_layers': 2, 'n_units': 201, 'activation': 'tanh', 'lr': 0.000245720667241521, 'optimizer': 'RAdam'}
loss=0.000482, validation loss=0.001191, train_mae=0.010791, val_mae=0.012018, params={'n_layers': 3, 'n_units': 303, 'activation': 'tanh', 'lr': 0.0010342640746070233, 'optimizer': 'RAdam'}
loss=0.000182, validation loss=0.001260, train_mae=0.008417, val_mae=0.010936, params={'n_layers': 4, 'n_units': 469, 'activation': 'tanh', 'lr': 0.00041098663842505535, 'optimizer': 'RAdam'}
loss=0.996398, validation loss=1.024039, train_mae=0.749420, val_mae=0.752721, params={'n_layers': 2, 'n_units': 281, 'activation': 'sigmoid', 'lr': 0.00010524579730512111, 'optimizer': 'sgd'}
loss=0.000696, validation loss=0.001490, train_mae=0.010682, val_mae=0.011513, params={'n_layers': 2, 'n_units': 203, 'activation': 'tanh', 'lr': 0.0002614313695091473, 'optimizer': 'RAdam'}
loss=0.000600, validation loss=0.001426, train_mae=0.010651, val_mae=0.011459, params={'n_layers': 2, 'n_units': 204, 'activation': 'tanh', 'lr': 0.0002252530480149548, 'optimizer': 'RAdam'}
loss=0.000347, validation loss=0.001780, train_mae=0.010511, val_mae=0.012049, params={'n_layers': 4, 'n_units': 349, 'activation': 'tanh', 'lr': 0.0003206996779200702, 'optimizer': 'RAdam'}
loss=0.006667, validation loss=0.008382, train_mae=0.036627, val_mae=0.037697, params={'n_layers': 1, 'n_units': 253, 'activation': 'leaky_relu', 'lr': 0.00018583405960663667, 'optimizer': 'RAdam'}
loss=0.000758, validation loss=0.001880, train_mae=0.015753, val_mae=0.017260, params={'n_layers': 3, 'n_units': 193, 'activation': 'relu', 'lr': 0.0006207317069364384, 'optimizer': 'RAdam'}
loss=0.000566, validation loss=0.001389, train_mae=0.010031, val_mae=0.011010, params={'n_layers': 2, 'n_units': 280, 'activation': 'tanh', 'lr': 0.0004408274012370291, 'optimizer': 'RAdam'}
loss=0.000766, validation loss=0.001568, train_mae=0.012019, val_mae=0.012782, params={'n_layers': 4, 'n_units': 336, 'activation': 'tanh', 'lr': 0.0001378911095486976, 'optimizer': 'RAdam'}
loss=0.060481, validation loss=0.065030, train_mae=0.146870, val_mae=0.148465, params={'n_layers': 5, 'n_units': 175, 'activation': 'tanh', 'lr': 0.00021899244183633712, 'optimizer': 'sgd'}
loss=0.000751, validation loss=0.001321, train_mae=0.012359, val_mae=0.012960, params={'n_layers': 6, 'n_units': 396, 'activation': 'swish', 'lr': 0.0006969398822204794, 'optimizer': 'RAdam'}
loss=0.000832, validation loss=0.001235, train_mae=0.014164, val_mae=0.014809, params={'n_layers': 2, 'n_units': 79, 'activation': 'tanh', 'lr': 0.0003237229555743531, 'optimizer': 'RAdam'}
loss=0.000536, validation loss=0.001229, train_mae=0.012177, val_mae=0.013394, params={'n_layers': 3, 'n_units': 309, 'activation': 'tanh', 'lr': 0.001162595557207863, 'optimizer': 'RAdam'}
loss=0.000632, validation loss=0.001237, train_mae=0.013929, val_mae=0.014959, params={'n_layers': 3, 'n_units': 261, 'activation': 'tanh', 'lr': 0.001555309101814334, 'optimizer': 'RAdam'}
loss=0.155395, validation loss=0.169937, train_mae=0.241230, val_mae=0.245278, params={'n_layers': 1, 'n_units': 225, 'activation': 'elu', 'lr': 0.000813566508933262, 'optimizer': 'AdamW'}
loss=0.000332, validation loss=0.001083, train_mae=0.009634, val_mae=0.010575, params={'n_layers': 5, 'n_units': 306, 'activation': 'sigmoid', 'lr': 0.0005451884466371048, 'optimizer': 'RAdam'}
loss=0.000242, validation loss=0.001418, train_mae=0.008889, val_mae=0.010077, params={'n_layers': 5, 'n_units': 367, 'activation': 'sigmoid', 'lr': 0.0005783259909873527, 'optimizer': 'RAdam'}
loss=0.421361, validation loss=0.440084, train_mae=0.451475, val_mae=0.455409, params={'n_layers': 4, 'n_units': 428, 'activation': 'sigmoid', 'lr': 0.00016886746418547669, 'optimizer': 'AdamW'}
loss=0.000732, validation loss=0.001244, train_mae=0.015177, val_mae=0.015851, params={'n_layers': 6, 'n_units': 133, 'activation': 'sigmoid', 'lr': 0.0004979760412472941, 'optimizer': 'RAdam'}
loss=0.149422, validation loss=0.153971, train_mae=0.251562, val_mae=0.252165, params={'n_layers': 2, 'n_units': 170, 'activation': 'leaky_relu', 'lr': 0.0003217628044078829, 'optimizer': 'sgd'}
loss=0.000861, validation loss=0.001940, train_mae=0.019411, val_mae=0.021484, params={'n_layers': 5, 'n_units': 321, 'activation': 'selu', 'lr': 0.0008028258204943633, 'optimizer': 'rmsprop'}
