2025-05-20_19-38-23 loss=0.000627, validation loss=0.001976, train_mae=0.012493, val_mae=0.013634, params={'n_layers': 3, 'n_units': 85, 'activation': 'tanh', 'optimizer': 'rmsprop', 'lr': 0.0003560523064043445, 'batchsize': 662}
2025-05-20_20-09-01 loss=0.008848, validation loss=0.010623, train_mae=0.032280, val_mae=0.033639, params={'n_layers': 2, 'n_units': 218, 'activation': 'gelu', 'optimizer': 'AdamW', 'lr': 0.00028175466976637403, 'batchsize': 512}
2025-05-20_21-26-57 loss=0.000875, validation loss=0.001643, train_mae=0.014209, val_mae=0.015667, params={'n_layers': 1, 'n_units': 251, 'activation': 'relu', 'optimizer': 'adam', 'lr': 0.0019223429928831369, 'batchsize': 107}
2025-05-20_23-00-48 loss=0.059869, validation loss=0.062003, train_mae=0.141614, val_mae=0.142668, params={'n_layers': 3, 'n_units': 216, 'activation': 'relu', 'optimizer': 'sgd', 'lr': 0.001365479480078324, 'batchsize': 1457}
2025-05-21_01-59-52 loss=0.000432, validation loss=0.001960, train_mae=0.011160, val_mae=0.012744, params={'n_layers': 9, 'n_units': 215, 'activation': 'tanh', 'optimizer': 'rmsprop', 'lr': 0.0002924716447158109, 'batchsize': 1266}
2025-05-21_03-31-37 loss=0.000079, validation loss=0.003361, train_mae=0.005678, val_mae=0.011627, params={'n_layers': 9, 'n_units': 264, 'activation': 'selu', 'optimizer': 'adam', 'lr': 0.000798775547912165, 'batchsize': 1941}
2025-05-21_07-07-38 loss=0.000557, validation loss=0.008149, train_mae=0.016100, val_mae=0.030564, params={'n_layers': 10, 'n_units': 337, 'activation': 'relu', 'optimizer': 'rmsprop', 'lr': 0.004466642100646829, 'batchsize': 1878}
2025-05-21_10-35-23 loss=0.000441, validation loss=0.005699, train_mae=0.014684, val_mae=0.021105, params={'n_layers': 7, 'n_units': 507, 'activation': 'leaky_relu', 'optimizer': 'rmsprop', 'lr': 0.00011809763997983172, 'batchsize': 1747}
2025-05-21_13-34-08 loss=0.000090, validation loss=0.002069, train_mae=0.004817, val_mae=0.007175, params={'n_layers': 7, 'n_units': 409, 'activation': 'sigmoid', 'optimizer': 'RAdam', 'lr': 0.0016812876255187614, 'batchsize': 1122}
2025-05-21_14-35-57 loss=0.011939, validation loss=0.013743, train_mae=0.042387, val_mae=0.043852, params={'n_layers': 1, 'n_units': 381, 'activation': 'tanh', 'optimizer': 'RAdam', 'lr': 2.636062317663906e-05, 'batchsize': 175}
2025-05-21_15-54-36 loss=0.000193, validation loss=0.007652, train_mae=0.010167, val_mae=0.023329, params={'n_layers': 7, 'n_units': 352, 'activation': 'relu', 'optimizer': 'rmsprop', 'lr': 0.002521587633955412, 'batchsize': 996}
2025-05-21_17-15-24 loss=0.071599, validation loss=0.075182, train_mae=0.177461, val_mae=0.180017, params={'n_layers': 10, 'n_units': 92, 'activation': 'sigmoid', 'optimizer': 'adam', 'lr': 8.723948185560844e-05, 'batchsize': 583}
2025-05-21_19-05-20 loss=0.000472, validation loss=0.001681, train_mae=0.012329, val_mae=0.013384, params={'n_layers': 11, 'n_units': 45, 'activation': 'gelu', 'optimizer': 'rmsprop', 'lr': 0.001127048576301669, 'batchsize': 514}
