2025-05-16_12-38-34 loss=0.008461, validation loss=0.009401, train_mae=0.025185, val_mae=0.026256, params={'n_layers': 1, 'n_units': 261, 'activation': 'leaky_relu', 'optimizer': 'AdamW', 'lr': 0.002026873797471395, 'batchsize': 973}
2025-05-16_12-45-10 loss=0.000414, validation loss=0.000997, train_mae=0.010638, val_mae=0.011324, params={'n_layers': 4, 'n_units': 35, 'activation': 'tanh', 'optimizer': 'RAdam', 'lr': 0.0027181747209319685, 'batchsize': 550}
2025-05-16_12-56-23 loss=0.000306, validation loss=0.002310, train_mae=0.010160, val_mae=0.012388, params={'n_layers': 8, 'n_units': 95, 'activation': 'tanh', 'optimizer': 'adam', 'lr': 0.002266262652592875, 'batchsize': 1392}
2025-05-16_13-05-19 loss=0.006848, validation loss=0.008075, train_mae=0.039354, val_mae=0.040228, params={'n_layers': 1, 'n_units': 260, 'activation': 'selu', 'optimizer': 'rmsprop', 'lr': 0.005529074040732428, 'batchsize': 1597}
2025-05-16_13-29-01 loss=0.000118, validation loss=0.003818, train_mae=0.006669, val_mae=0.010215, params={'n_layers': 6, 'n_units': 287, 'activation': 'tanh', 'optimizer': 'adam', 'lr': 0.00048583821060752176, 'batchsize': 159}
2025-05-16_13-40-17 loss=0.000977, validation loss=0.002406, train_mae=0.014008, val_mae=0.015365, params={'n_layers': 10, 'n_units': 102, 'activation': 'elu', 'optimizer': 'rmsprop', 'lr': 0.0009564378938575519, 'batchsize': 921}
2025-05-16_13-42-59 loss=0.003028, validation loss=0.004001, train_mae=0.013210, val_mae=0.013724, params={'n_layers': 3, 'n_units': 408, 'activation': 'swish', 'optimizer': 'AdamW', 'lr': 0.0012473620346120724, 'batchsize': 321}
2025-05-16_14-01-58 loss=0.003043, validation loss=0.003773, train_mae=0.013451, val_mae=0.013891, params={'n_layers': 6, 'n_units': 443, 'activation': 'gelu', 'optimizer': 'AdamW', 'lr': 0.0005913684749836051, 'batchsize': 481}
2025-05-16_14-14-50 loss=0.001498, validation loss=0.002143, train_mae=0.018607, val_mae=0.019219, params={'n_layers': 6, 'n_units': 381, 'activation': 'gelu', 'optimizer': 'AdamW', 'lr': 0.008557694394189639, 'batchsize': 1567}
2025-05-16_14-25-09 loss=0.000242, validation loss=0.001284, train_mae=0.007910, val_mae=0.009168, params={'n_layers': 5, 'n_units': 293, 'activation': 'tanh', 'optimizer': 'adam', 'lr': 0.00029129663135192357, 'batchsize': 1451}
2025-05-16_14-39-44 loss=0.000198, validation loss=0.009941, train_mae=0.010270, val_mae=0.024087, params={'n_layers': 6, 'n_units': 448, 'activation': 'relu', 'optimizer': 'rmsprop', 'lr': 0.002680254096035785, 'batchsize': 1579}
2025-05-16_14-46-32 loss=0.000076, validation loss=0.004968, train_mae=0.005544, val_mae=0.010858, params={'n_layers': 3, 'n_units': 288, 'activation': 'leaky_relu', 'optimizer': 'adam', 'lr': 0.00011798102792937772, 'batchsize': 335}
2025-05-16_15-02-03 loss=0.000351, validation loss=0.007565, train_mae=0.013202, val_mae=0.023127, params={'n_layers': 8, 'n_units': 350, 'activation': 'relu', 'optimizer': 'rmsprop', 'lr': 0.001147875228610006, 'batchsize': 1416}
